Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Ram Prakash Gupta,male,1937-12-01T00:00:00Z,Not Available,Not Available,1994-12-16T00:00:00Z,1999-11-30T00:00:00Z,No,No,Delhi,Yes,Madhya Pradesh,1996-05-06T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,1994-12-16 00:00:00+00:00
Ramesh Chand Jain,male,1944-06-26T00:00:00Z,Uttar Pradesh,Sahranpur,2001-07-16T00:00:00Z,2006-06-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Agra University,Not Available,Not Available,Not Available,No,No,No,,2001-07-16 00:00:00+00:00
Ramesh Chandra Chopra,male,1943-12-18T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2005-12-17T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Delhi University,1966,Not Applicable,Not Applicable,No,No,No,,2000-12-01 00:00:00+00:00
Rekha Palli,female,1963-03-09T00:00:00Z,Not Available,Not Available,2017-05-15T00:00:00Z,2025-03-08T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Lady Irwin School,Hindu College,Science,Delhi University,1986,1986,Delhi,No,No,No,,2017-05-15 00:00:00+00:00
Rekha Sharma,female,1949-07-31T00:00:00Z,Not Available,Not Available,2005-02-23T00:00:00Z,2011-07-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,"St. Thomas Higher Secondary School, New Delhi","Miranda House, Delhi University",Not Available,Delhi University,Not Available,1972,Delhi,No,No,No,,2005-02-23 00:00:00+00:00
Reva Khetrapal,female,1952-09-23T00:00:00Z,Himachal Pradesh,Shimla,2006-02-28T00:00:00Z,2014-09-22T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,"Convent of Jesus and Mary, New Delhi",Miranda House,History,Delhi University,Not Available,1975,Delhi,No,No,No,,2006-02-28 00:00:00+00:00
S N Dhingra,male,1949-03-02T00:00:00Z,Delhi,Delhi,2006-02-28T00:00:00Z,2011-03-01T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Delhi Unversity,Science,Delhi University,Not Available,1976,Not Available,No,Yes,Yes,,2006-02-28 00:00:00+00:00
S. L. Bhayana,male,1949-04-15T00:00:00Z,Not Available,Not Available,2006-02-28T00:00:00Z,2011-04-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1973,Delhi,No,No,No,,2006-02-28 00:00:00+00:00
S. N. Aggarwal,male,1950-08-25T00:00:00Z,Not Available,Not Available,2006-02-28T00:00:00Z,2012-08-24T00:00:00Z,No,No,Delhi,Yes,Madhya Pradesh,2010-10-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Delhi University,Science,Not Available,Not Available,1980,Delhi,No,No,Yes,,2006-02-28 00:00:00+00:00
S. Ravindra Bhat,male,1958-10-21T00:00:00Z,Karnataka,Mysore,2004-07-16T00:00:00Z,2020-10-20T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Not Applicable,Not Applicable,Yes,2019-09-23T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"Central School, Faridabad","Hindu College, University of Delhi",Arts (English Literature),University of Delhi,1982,1982,Delhi,No,No,No,,2004-07-16 00:00:00+00:00
S.N. Kapoor,male,1941-05-28T00:00:00Z,Not Available,Not Available,1996-04-09T00:00:00Z,2003-05-27T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Not Available,No,Yes,No,,1996-04-09 00:00:00+00:00
S.P. Garg,male,1956-06-15T00:00:00Z,Punjab,"Maur, District Bhatinda",2011-10-17T00:00:00Z,2018-06-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,Yes,"S.S.D High School, Maur","Rajindera Government College, Bathinda",Commerce,"Panjab University, Chandigarh",1979,1979,Punjab & Haryana,No,Yes,Yes,,2011-10-17 00:00:00+00:00
Sangita Dhingra Sehgal,female,1958-06-20T00:00:00Z,Chandigarh,Chandigarh,2014-12-15T00:00:00Z,2020-05-30T00:00:00Z,No,Yes,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,University of Delhi,1981,Not Applicable,Not Applicable,No,Yes,Yes,,2014-12-15 00:00:00+00:00
Sanjay Kishan Kaul,male,1958-12-26T00:00:00Z,Not Available,Not Available,2001-05-03T00:00:00Z,2023-12-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Punjab and Haryana,Madras,Not Applicable,Yes,2017-02-17T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Modern School, New Delhi","St. Stephens College, Delhi University",Economics,Delhi University,1982,1982,Delhi,No,No,No,,2001-05-03 00:00:00+00:00
Sanjeev Narula,male,1970-08-24T00:00:00Z,Not Available,Not Available,2018-10-22T00:00:00Z,2032-08-23T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,St. Mary's Presentation Convent School,"Kirorimal College, Univeristy of Delhi",Science (Computer Science),"Faculty of Jammu, Unviersity of Jammu",1994,1995,Delhi,No,No,No,,2018-10-22 00:00:00+00:00
Sanjeev Sachdeva,male,1964-12-26T00:00:00Z,Delhi,Delhi,2013-04-17T00:00:00Z,2026-12-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,"Delhi Public School, Mathura Road","Sri Ram College of Commerce, Delhi University",Commerce,Delhi University,1988,1988,Delhi,No,No,No,,2013-04-17 00:00:00+00:00
Sanjiv Khanna,male,1960-05-14T00:00:00Z,Not Available,Not Available,2005-06-24T00:00:00Z,2022-05-13T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Delhi University,Not Available,Delhi University,Not Available,1983,Delhi,No,No,No,,2005-06-24 00:00:00+00:00
Sharda Aggarwal,female,1940-12-01T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2002-11-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1962,Delhi,No,No,No,,2000-12-01 00:00:00+00:00
Siddharth Mridul,male,1962-11-22T00:00:00Z,Delhi,Delhi,2008-03-13T00:00:00Z,2024-11-21T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,Army Public School,"Hindu College, Delhi University",Arts (History),Delhi University,1986,1986,Delhi,No,No,No,,2008-03-13 00:00:00+00:00
Subramonium Prasad,male,1967-06-22T00:00:00Z,Not Available,Not Available,2018-06-04T00:00:00Z,2029-06-21T00:00:00Z,No,No,Madras,Yes,Delhi,2020-03-13T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Delhi University,Commerce,Delhi University,1990,Not Available,Not Available,No,No,No,,2018-06-04 00:00:00+00:00
Sudershan Kumar Misra,male,1954-09-07T00:00:00Z,Not Available,Not Available,2007-07-04T00:00:00Z,2016-09-06T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Delhi Public School, Mathura Road","Hindu College, Delhi University",Arts (History),Delhi University,Not Available,1978,Delhi,No,No,No,,2007-07-04 00:00:00+00:00
Suman Dattaram Pandit,male,1936-10-06T00:00:00Z,Not Available,Not Available,1994-10-06T00:00:00Z,1998-09-02T00:00:00Z,No,Yes,Bombay,Yes,Delhi,1994-11-01T00:00:00Z,Gujarat,1996-04-20T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Maharashtra,No,No,No,,1994-10-06 00:00:00+00:00
Sunil Gaur,male,1957-08-23T00:00:00Z,Not Available,Not Available,2008-04-11T00:00:00Z,2019-08-22T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,2008-04-11 00:00:00+00:00
Sunita Gupta,female,1954-12-14T00:00:00Z,West Bengal,Kolkata,2013-04-17T00:00:00Z,2016-12-13T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,"Miranda House, University of Delhi",Arts (Philosophy),Delhi University,1978,1978,Delhi,No,Yes,Yes,,2013-04-17 00:00:00+00:00
Surender Kumar Mahajan,male,1941-12-05T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2003-12-04T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1967,Delhi,No,No,No,,1995-05-17 00:00:00+00:00
Suresh Kumar Kait,male,1962-10-19T00:00:00Z,Haryana,"Village Kakaut, Distt. Kaithal, Haryana, India",2008-09-05T00:00:00Z,2024-10-18T00:00:00Z,No,No,Delhi,Yes,Andhra Pradesh,2016-04-12T00:00:00Z,Delhi,2018-10-12T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,"University College, Kurukshetra",Not Available,Delhi University,Not Available,1989,Not Available,No,Yes,No,,2008-09-05 00:00:00+00:00
Surinder Kumar Aggarwal,male,1944-04-04T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2006-04-03T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,1999-07-07T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1965,Delhi,No,No,No,,1999-07-07 00:00:00+00:00
Swatanter Kumar,male,1947-12-31T00:00:00Z,Not Available,Not Available,1994-11-10T00:00:00Z,2009-12-30T00:00:00Z,No,No,Delhi,Yes,Punjab and Haryana,1994-11-30T00:00:00Z,Delhi,2004-10-04T00:00:00Z,Not Applicable,Not Applicable,Yes,Bombay,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1971,Delhi,No,No,No,,1994-11-10 00:00:00+00:00
Talwant Singh,male,1961-06-04T00:00:00Z,Punjab,"Village Bahla, Hoshiarpur",2019-05-27T00:00:00Z,2023-06-03T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,"N P Boys Higher Secondary School, Mandir Marg, New Delhi","SGTB Khalsa College, Delhi University",Commerce,Meerut University,1986,1986,Delhi,No,Yes,No,,2019-05-27 00:00:00+00:00
Tirath Singh Thakur,male,1952-01-04T00:00:00Z,Jammu & Kashmir,Ramban,1994-02-16T00:00:00Z,2017-01-03T00:00:00Z,No,No,J&K and Ladakh,Yes,Karnataka,1994-03-01T00:00:00Z,Delhi,2004-07-01T00:00:00Z,Not Applicable,Not Applicable,Yes,Punjab and Haryana,Not Applicable,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,Not Available,"Govt. Gandhi Memorial 
Science College",Science,"Jammu University, Department of Law",Not Available,1972,Jammu & Kashmir,No,No,No,,1994-02-16 00:00:00+00:00
V. K. Shali,male,1954-06-15T00:00:00Z,Delhi,Delhi,2008-04-11T00:00:00Z,2016-06-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Not Available,Not Available,Not Available,Delhi University,1976,1976,Delhi,No,No,Yes,,2008-04-11 00:00:00+00:00
V. Kameshwar Rao,male,1965-08-07T00:00:00Z,Not Available,Not Available,2013-04-17T00:00:00Z,2027-08-06T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,Not Available,Delhi University,Arts (Geography),Delhi University,1990,1991,Delhi,No,No,No,,2013-04-17 00:00:00+00:00
V.K. Jain,male,1952-05-15T00:00:00Z,Not Available,Not Available,2009-05-14T00:00:00Z,2014-05-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Delhi University,Not Available,Not Applicable,Not Applicable,No,No,Yes,,2009-05-14 00:00:00+00:00
Valmiki J Mehta,male,1959-06-06T00:00:00Z,Maharashtra,Mumbai,2009-04-15T00:00:00Z,2019-03-01T00:00:00Z,Yes,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"Kendriya Vidyalaya, Vishakhapatnam","Sri Venkateshwara College, Delhi University",Commerce,University of Delhi,Not Available,1982,Delhi,No,No,No,,2009-04-15 00:00:00+00:00
Ved Prakash Vaish,male,1959-06-27T00:00:00Z,Not Available,Not Available,2013-04-17T00:00:00Z,2021-06-26T00:00:00Z,No,No,Delhi,Yes,Meghalaya,2016-05-23T00:00:00Z,Allahabad,2017-11-27T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Delhi University,Not Available,Delhi University,1984,1984,Delhi,No,No,No,,2013-04-17 00:00:00+00:00
Veena Birbal,female,1952-07-01T00:00:00Z,Delhi,Delhi,2007-08-31T00:00:00Z,2014-06-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,No,No,No,No,No,Not Available,"Miranda House, University of Delhi",Science,Delhi University,1977,1978,Delhi,No,No,No,,2007-08-31 00:00:00+00:00
Vibhu Bakhru,male,1966-11-02T00:00:00Z,Maharashtra,Nagpur,2013-04-17T00:00:00Z,2028-11-01T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Commerce,Not Available,1990,1990,Delhi,No,No,No,,2013-04-17 00:00:00+00:00
Vidya Bhushan Gupta,male,1948-11-25T00:00:00Z,Not Available,Not Available,2007-01-09T00:00:00Z,2010-11-24T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Delhi University,Not Available,Delhi University,1972,1972,Not Available,No,No,No,,2007-01-09 00:00:00+00:00
Vikramjit Sen,male,1950-12-31T00:00:00Z,Not Available,Not Available,1999-07-07T00:00:00Z,2015-12-30T00:00:00Z,No,No,Delhi,Yes,Karnataka,2011-09-11T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Karnataka,Not Applicable,Not Applicable,Yes,2012-12-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,"St. Xavier's School, Delhi",St. Stephen's College,History,Delhi University,Not Available,1976,Not Available,No,No,No,,1999-07-07 00:00:00+00:00
Vinod Goel,male,1957-08-07T00:00:00Z,Haryana,Hassanpur,2016-11-08T00:00:00Z,2019-08-06T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Government High School, Hassanpur","Vaish College, Maharishi Dayanand Univeristy, Rohtak",Commerce,Panjab University,1980,1982,Punjab & Haryana,No,No,No,,2016-11-08 00:00:00+00:00
Vinod Sagar Aggarwal,male,1940-08-20T00:00:00Z,Not Available,Not Available,1994-11-10T00:00:00Z,2002-08-19T00:00:00Z,No,No,Delhi,Yes,Punjab and Haryana,1994-11-30T00:00:00Z,Delhi,2001-06-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1962,Punjab and Haryana,No,No,No,,1994-11-10 00:00:00+00:00
Vipin Sanghi,male,1961-10-27T00:00:00Z,Maharashtra,Nagpur,2006-05-29T00:00:00Z,2023-10-26T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"Delhi Public School, Mathura Road",Delhi University,Science (Mathematics),Delhi University,1986,1986,Delhi,No,No,No,,2006-05-29 00:00:00+00:00
Yogesh Khanna,male,1961-12-31T00:00:00Z,Not Available,Not Available,2016-11-08T00:00:00Z,2023-12-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Delhi University,Commerce,Delhi University,1986,1986,Not Available,No,No,No,,2016-11-08 00:00:00+00:00
Abhay Manohar Sapre,male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-11T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Not Applicable,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Model High School, Jabalpur","Government Arts College, Jabalpur",Arts,"University Teaching Department (VTD) Jabalpur, University of Jabalpur",Not Available,1978,Madhya Pradesh,No,No,No,,1999-10-25 00:00:00+00:00
Achintya Barua,male,1961-12-15T00:00:00Z,Not Available,Not Available,2016-11-15T00:00:00Z,2023-12-14T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"Kendriya Vidyalaya, Guwahati",Utkal University,Not Available,"Government Law College, Guwahati under Gauhati University",Not Available,1988,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,,2016-11-15 00:00:00+00:00
Adarsh Kumar Goel,male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2015-07-06T00:00:00Z,No,No,Punjab and Haryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Orissa,Not Applicable,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,"Panjab University, Chandigarh",Arts,"Panjab University, Chandigarh",Not Available,1974,Punjab and Haryana,No,No,No,,2001-07-02 00:00:00+00:00
Aftab Hussain Saikia,male,1949-04-07T00:00:00Z,Assam,Village Dampur under Hajo Police Station in the District of Kamrup,2000-11-15T00:00:00Z,2011-04-06T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sikkim,J&K and Ladakh,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,"Cotton College, Guwahat",Science,Gauhati University,1974,1974,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,Yes,,2000-11-15 00:00:00+00:00
Ajai Lamba,male,1958-09-21T00:00:00Z,Punjab,Abohar,2006-03-22T00:00:00Z,2020-09-20T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,2011-12-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Government College, Sector 11, Chandigarh",English,"Punjab University, Chandigarh",Not Available,1981,Not Available,No,No,No,,2006-03-22 00:00:00+00:00
Ajit Borthakur,male,1961-12-01T00:00:00Z,Not Available,Not Available,2016-11-15T00:00:00Z,2023-11-30T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Gauhati University,Not Available,Not Applicable,Not Applicable,No,Yes,No,,2016-11-15 00:00:00+00:00
Ajit Singh,male,1956-09-06T00:00:00Z,Not Available,Not Available,2002-04-01T00:00:00Z,2018-09-05T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2015-03-19T00:00:00Z,Gauhati,2016-03-05T00:00:00Z,Not Applicable,Not Applicable,Yes,Gauhati,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1979,Not Available,No,No,No,,2002-04-01 00:00:00+00:00
Ajjikuttira Bopanna,male,1959-05-20T00:00:00Z,Not Available,Not Available,2006-01-06T00:00:00Z,2024-05-19T00:00:00Z,No,No,Karnataka,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Not Applicable,Not Applicable,Yes,2019-05-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1984,Not Available,No,No,No,,2006-01-06 00:00:00+00:00
